phase,metric,mean,ci_low,ci_high,n
ONSET,Delta_pos,-0.4023548267404926,-0.6140525844590411,-0.23263931602136415,8
ONSET,Delta_neg,0.18154591682085425,-0.047890695310311746,0.4092317572538636,8
ONSET,Delta_sep,-0.5839007435613469,-0.734854976340857,-0.4232423651146563,8
OFFSET,Delta_pos,-0.12644633482454742,-0.20232582184312836,-0.05125227622981327,8
OFFSET,Delta_neg,0.42996319085296186,0.2531816767993441,0.5961746126223478,8
OFFSET,Delta_sep,-0.5564095256775092,-0.6998994281152926,-0.39607836472810515,8
