subject_id,run_id,file_relpath,n_events,n_unique,unique_trigger_codes
6,3,BCI_Harmony_ExperimentalData/offline_data/Sub_6/Sub_6_run_3_10292023_1143_offline/Sub_6_run_3_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
6,4,BCI_Harmony_ExperimentalData/offline_data/Sub_6/Sub_6_run_4_10292023_1153_offline/Sub_6_run_4_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
6,5,BCI_Harmony_ExperimentalData/offline_data/Sub_6/Sub_6_run_5_10292023_1203_offline/Sub_6_run_5_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
6,6,BCI_Harmony_ExperimentalData/offline_data/Sub_6/Sub_6_run_6_10292023_1211_offline/Sub_6_run_6_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
7,1,BCI_Harmony_ExperimentalData/offline_data/Sub_7/Sub_7_run_1_10292023_1712_offline/Sub_7_run_1_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
7,2,BCI_Harmony_ExperimentalData/offline_data/Sub_7/Sub_7_run_2_10292023_1722_offline/Sub_7_run_2_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
7,3,BCI_Harmony_ExperimentalData/offline_data/Sub_7/Sub_7_run_3_10292023_1731_offline/Sub_7_run_3_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
7,4,BCI_Harmony_ExperimentalData/offline_data/Sub_7/Sub_7_run_4_10292023_1743_offline/Sub_7_run_4_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
7,5,BCI_Harmony_ExperimentalData/offline_data/Sub_7/Sub_7_run_5_10292023_1753_offline/Sub_7_run_5_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
7,6,BCI_Harmony_ExperimentalData/offline_data/Sub_7/Sub_7_run_6_10292023_1802_offline/Sub_7_run_6_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
8,1,BCI_Harmony_ExperimentalData/offline_data/Sub_8/Sub_8_run_1_11092023_1942_offline/Sub_8_run_1_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
8,2,BCI_Harmony_ExperimentalData/offline_data/Sub_8/Sub_8_run_2_11092023_1951_offline/Sub_8_run_2_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
8,3,BCI_Harmony_ExperimentalData/offline_data/Sub_8/Sub_8_run_3_11092023_2000_offline/Sub_8_run_3_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
8,4,BCI_Harmony_ExperimentalData/offline_data/Sub_8/Sub_8_run_4_11092023_2008_offline/Sub_8_run_4_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
8,5,BCI_Harmony_ExperimentalData/offline_data/Sub_8/Sub_8_run_5_11092023_2016_offline/Sub_8_run_5_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
8,6,BCI_Harmony_ExperimentalData/offline_data/Sub_8/Sub_8_run_6_11092023_2024_offline/Sub_8_run_6_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
9,1,BCI_Harmony_ExperimentalData/offline_data/Sub_9/Sub_9_run_1_12022023_1128_offline/Sub_9_run_1_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
9,2,BCI_Harmony_ExperimentalData/offline_data/Sub_9/Sub_9_run_2_12022023_1136_offline/Sub_9_run_2_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
9,3,BCI_Harmony_ExperimentalData/offline_data/Sub_9/Sub_9_run_3_12022023_1144_offline/Sub_9_run_3_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
9,4,BCI_Harmony_ExperimentalData/offline_data/Sub_9/Sub_9_run_4_12022023_1153_offline/Sub_9_run_4_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
9,5,BCI_Harmony_ExperimentalData/offline_data/Sub_9/Sub_9_run_5_12022023_1201_offline/Sub_9_run_5_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
9,6,BCI_Harmony_ExperimentalData/offline_data/Sub_9/Sub_9_run_6_12022023_1208_offline/Sub_9_run_6_offline.gdf,142,9,100;150;300;500;550;900;950;1000;2000
